short_name,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,league_level,position,club_jersey_number,nationality_id,nation_team_id,nation_jersey_number,weak_foot,skill_moves,international_reputation,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
D. Krezic,63,66,625000,900,25,186,71,113743,1,SUB,11,19,,,4,3,1,828000,73,53,56,62,55,63,60,55,52,60,45,62,48,38,47,63,72,73,62,61,59,55,57,71,63,51,55,56,58,58,42,57,58,54,47,14,11,14,6,8,
Z. G?rgen,63,75,1000000,1000,21,188,79,101037,1,RES,30,48,,,3,1,1,2200000,,,,,,,14,9,14,16,6,14,12,11,27,16,22,28,34,45,33,45,48,28,63,9,24,7,8,39,11,37,8,13,12,66,60,60,64,69,24
C. Arabe,63,63,475000,500,29,173,71,114577,1,SUB,7,53,,,3,3,1,1000000,62,54,63,70,54,61,62,57,48,68,45,71,57,58,63,70,69,56,71,62,71,49,60,63,65,55,48,61,57,58,57,64,54,53,47,11,10,15,8,14,
J. C?rdenas,63,66,475000,500,26,188,78,110986,1,SUB,1,57,,,3,1,1,1100000,,,,,,,19,17,15,34,13,21,14,14,39,15,48,44,33,50,56,47,61,27,80,16,22,19,16,55,22,31,21,12,16,61,65,62,65,61,46
R. Farro,63,63,50000,500,36,179,80,111334,1,SUB,1,59,,,2,1,1,108000,,,,,,,19,12,11,24,18,17,19,13,24,16,45,46,40,60,39,45,62,38,76,19,20,25,17,20,24,23,23,16,13,60,63,60,62,65,45
A. Mercado,63,63,475000,500,27,180,77,114600,1,SUB,10,53,,,2,2,1,1000000,75,42,59,58,59,53,62,55,55,60,25,65,30,29,59,50,74,75,57,56,52,30,59,65,48,29,50,61,47,68,37,45,52,65,61,8,12,6,11,10,
M. Ovejero,63,63,230000,500,34,170,72,114577,1,RS,16,52,,,2,4,1,495000,82,64,58,68,35,47,52,65,47,63,55,67,69,65,53,65,85,80,84,54,85,66,30,36,48,64,63,32,62,56,65,60,28,43,24,11,14,8,10,11,
R. Huaccha,63,64,550000,500,27,172,71,114511,1,RW,19,59,,,3,2,1,1200000,68,61,51,62,31,65,46,67,60,57,49,61,48,47,36,60,67,69,72,68,72,61,75,71,59,51,70,33,63,59,60,50,22,32,25,11,7,13,15,11,
J. D?az,63,71,1000000,4000,22,178,69,110144,1,RES,4,83,,,2,2,1,1900000,51,34,48,61,61,60,65,32,57,55,34,62,40,34,30,65,65,39,56,51,72,35,56,71,58,34,51,59,46,36,45,44,55,66,72,7,8,14,8,10,
C. Drameh,63,80,1200000,7000,19,184,73,8,1,SUB,37,14,,,3,2,1,3000000,78,35,52,62,56,62,62,29,55,56,30,63,34,31,52,61,79,78,67,57,73,42,62,65,60,33,61,53,58,46,42,47,53,62,57,13,8,8,13,10,
A. Marinelli,63,75,1200000,3000,22,174,70,110580,1,SUB,7,52,,,3,3,1,2000000,78,58,57,66,35,48,65,63,41,60,48,68,49,44,50,65,79,78,75,52,75,60,54,55,51,51,32,29,48,54,51,47,38,36,32,8,6,10,10,14,
J. Fern?ndez,63,70,900000,500,22,184,76,113143,1,SUB,26,60,,,3,2,1,2100000,57,28,40,46,62,67,31,24,65,55,26,32,36,22,40,60,51,62,55,61,61,42,63,62,68,21,70,58,23,26,34,43,59,67,62,14,7,10,10,7,
F. Ibarra,63,75,1200000,1000,20,175,69,112885,1,SUB,14,52,,,3,2,1,2000000,67,47,58,62,61,61,48,40,56,66,39,62,43,41,61,63,70,65,65,64,68,57,64,72,54,50,66,62,62,60,42,48,56,68,62,7,6,8,8,6,
D. Fleitas,63,69,775000,500,24,180,84,112671,1,SUB,9,58,,,3,2,1,1800000,59,65,51,58,21,62,55,67,63,58,61,60,40,30,51,58,57,60,59,52,49,68,78,61,72,58,33,18,65,45,60,52,15,15,21,14,7,11,7,11,
J. Nu?ez,63,63,525000,500,25,175,72,114688,1,SUB,21,58,,,3,3,1,1100000,62,49,59,60,29,50,60,59,44,64,33,59,31,32,58,65,60,63,60,60,63,44,57,56,55,31,29,31,65,65,42,43,25,27,23,13,14,8,11,13,
F. Mart?nez,63,66,550000,500,27,175,69,112671,1,SUB,5,58,,,2,2,1,1200000,55,53,54,61,64,67,46,55,52,60,28,60,32,35,60,65,50,59,53,60,61,51,67,70,66,61,68,61,60,56,37,59,68,68,60,10,5,11,6,13,
A. Boutoutaou,63,79,1300000,1000,20,169,56,110456,2,RW,17,18,,,2,3,1,3100000,74,59,53,74,32,33,42,64,39,56,53,74,57,47,47,72,78,71,90,53,91,61,50,32,30,52,39,24,49,62,53,67,39,28,36,10,6,8,14,8,
D. Kocy?a,63,76,1100000,500,18,180,66,1569,1,SUB,9,37,,,3,3,1,2200000,77,58,55,62,26,54,57,62,52,58,42,60,50,32,51,63,76,77,73,56,71,58,60,74,40,52,61,37,60,56,60,55,21,18,18,5,9,12,5,14,
K. Kurokawa,63,68,675000,2000,24,173,70,112093,1,SUB,24,163,,,3,2,1,894000,72,35,58,59,57,68,63,26,52,60,20,56,35,30,58,60,73,72,70,55,73,53,70,72,68,36,62,57,52,61,31,49,56,60,60,9,13,7,8,12,
T. Yamakawa,63,68,675000,2000,23,185,79,101146,1,SUB,23,163,,,3,2,1,928000,63,22,50,52,61,74,50,18,63,60,27,50,26,23,59,56,59,67,48,62,49,30,61,70,80,21,65,60,34,36,21,45,59,64,60,11,15,6,7,12,
S. Portocarrero,63,68,675000,500,24,170,67,114578,1,SUB,22,57,,,3,2,1,1500000,78,57,56,65,58,58,62,59,40,62,49,67,44,35,44,64,80,76,70,52,75,59,51,61,63,50,43,61,65,59,49,50,59,60,57,13,11,13,9,14,
R. Banegas,63,69,600000,500,25,184,73,110974,1,SUB,22,53,,,3,1,1,1400000,,,,,,,11,9,15,29,7,7,15,15,22,11,16,30,32,60,48,45,68,30,42,9,27,7,5,34,15,22,6,11,11,63,61,60,62,62,22
B. Hern?ndez,63,69,725000,500,22,175,72,114578,1,SUB,28,57,,,3,2,1,1700000,80,28,47,58,59,60,60,29,55,59,28,57,33,35,27,59,78,81,70,53,59,21,62,62,65,26,45,60,42,32,37,44,57,61,59,15,6,10,10,10,
Bubacar Djal?,63,71,1000000,500,24,188,83,100325,1,SUB,8,38,,,3,2,1,2400000,59,34,48,54,62,73,29,27,56,60,32,49,33,39,57,58,56,62,55,59,65,47,70,74,78,29,61,64,42,47,51,53,60,65,59,12,5,5,7,13,
R. Robinson,63,71,1100000,2000,22,188,77,112893,1,LM,19,95,,,3,2,1,1900000,75,61,47,64,29,60,36,64,58,59,60,65,36,32,35,63,72,78,63,63,65,64,58,70,65,50,33,24,63,54,59,64,20,32,29,10,7,12,6,14,
H. Nakamura,63,68,675000,2000,23,177,72,101150,1,RES,37,163,,,3,2,1,894000,64,33,47,56,60,69,59,32,59,56,30,54,27,27,47,56,62,66,64,55,67,48,70,70,70,19,65,59,41,31,40,44,57,65,61,14,10,11,12,10,
Y. Obata,63,77,1000000,500,19,183,79,112836,1,RES,1,163,,,3,1,1,1900000,,,,,,,13,8,11,29,5,8,13,12,24,22,45,43,56,63,54,44,73,27,68,7,27,15,8,39,12,30,10,13,12,65,63,59,52,70,44
T. Beason,63,67,625000,1000,24,185,79,111928,1,SUB,15,95,,,2,2,1,953000,61,25,42,53,64,68,36,21,60,58,24,49,27,21,45,58,57,65,57,59,51,32,75,70,73,24,53,64,32,29,36,49,67,65,60,7,8,11,11,10,
V. Morar,63,63,525000,3000,27,183,78,112637,1,SUB,71,39,,,3,3,1,709000,71,63,43,62,23,63,42,62,62,49,54,62,45,35,25,63,72,71,65,57,61,67,71,71,64,60,48,17,64,48,71,58,17,19,24,11,13,14,9,7,
L. Tramoni,63,76,1100000,2000,18,175,68,1842,1,RES,66,18,,,3,3,1,2600000,67,55,62,65,39,52,64,55,53,63,53,68,61,57,57,64,67,67,58,55,76,55,47,52,55,55,45,24,53,62,56,48,29,50,49,9,13,11,15,12,
Y. Suzuki,63,72,1000000,650,19,175,66,101149,1,RS,23,163,,,3,2,1,1500000,70,54,62,66,47,50,57,58,46,66,41,67,51,53,64,66,66,74,62,57,72,51,55,55,47,51,50,49,60,62,48,62,44,50,48,15,12,8,13,6,
D. Celea,63,65,525000,2000,25,187,82,113387,1,RCB,5,39,,,2,2,1,748000,50,38,41,42,64,68,28,32,63,45,34,33,30,36,38,43,46,54,54,55,66,48,80,62,72,42,61,63,51,52,33,61,63,65,65,8,10,15,9,10,
H. Calder?n,63,64,550000,500,27,173,68,112916,1,RDM,23,61,,,4,3,1,1200000,60,56,59,61,50,60,39,60,44,68,34,62,45,36,65,63,58,62,61,54,56,47,53,65,64,61,43,56,63,66,46,47,37,64,37,6,7,6,12,14,
S. Velkov,63,70,900000,2000,24,192,86,1825,3,RCB,14,9,,,3,2,1,1500000,61,40,46,52,62,74,39,32,60,49,33,47,34,40,56,56,55,66,60,61,49,61,70,68,85,39,55,64,42,45,46,57,62,61,62,14,8,7,12,12,
N. Kuvelji?,63,69,700000,1000,24,194,85,1873,1,SUB,21,51,,,3,2,1,1100000,65,48,53,56,60,73,38,43,45,63,33,54,43,41,56,60,68,63,60,55,51,57,57,63,80,53,72,67,45,52,45,47,59,62,60,6,6,5,12,6,
F. Lo Celso,63,77,1200000,3000,21,178,70,110580,1,SUB,18,52,,,3,3,1,2600000,68,53,65,63,57,51,56,48,51,72,54,62,60,55,65,63,66,70,70,54,70,62,53,55,48,52,55,59,61,66,61,67,58,57,58,5,14,8,13,6,
B. Barticciotto,63,78,1200000,950,20,175,70,111328,1,SUB,23,55,,,3,2,1,2400000,74,60,41,65,19,56,29,64,61,52,34,67,31,34,28,66,72,75,66,55,59,64,65,66,62,55,27,12,64,48,57,55,15,16,15,11,12,14,14,10,
S. Jasper,63,78,1200000,8000,20,172,71,1935,4,SUB,17,14,,,4,3,1,,85,60,56,65,39,50,57,61,43,57,56,65,55,53,52,62,84,85,80,48,80,59,49,58,53,59,31,40,60,56,58,60,40,39,33,14,12,12,11,9,
C. Co?kun,63,69,700000,600,23,173,71,110592,3,LB,22,48,,,3,2,1,1200000,76,51,58,63,58,60,61,53,46,58,36,61,54,40,57,58,81,71,80,60,83,53,57,76,56,49,53,57,58,61,49,58,63,59,55,6,12,7,11,5,
G. Norlin,63,68,725000,1000,24,183,73,319,1,LM,14,46,,,3,2,1,961000,73,56,58,62,35,55,59,57,38,61,48,61,57,43,51,62,74,72,67,55,66,55,49,62,56,56,46,36,64,62,45,58,38,35,25,7,14,14,13,10,
A. Schuarztman,63,68,725000,500,23,173,67,111007,1,SUB,8,58,,,3,2,1,1600000,61,56,57,63,52,53,49,63,38,65,36,64,36,37,59,65,66,57,59,63,63,41,66,70,49,63,37,62,60,60,45,45,42,61,52,11,15,14,7,6,
Danny Henriques,63,72,1000000,1000,23,186,81,1889,1,SUB,14,38,,,3,2,1,2300000,49,26,47,43,63,67,35,20,57,61,34,38,24,25,53,44,43,53,46,59,49,37,70,55,72,25,70,59,26,41,39,44,58,70,67,6,12,8,8,10,
I. Nuhu,63,79,1200000,2000,19,171,60,2013,1,SUB,29,117,,,3,3,1,2500000,79,48,55,72,31,34,54,50,47,57,44,73,46,44,52,64,87,73,91,68,90,54,68,34,29,39,38,21,50,58,45,54,33,28,42,13,13,5,6,6,
G. Gohlke,63,76,1100000,800,22,192,81,110532,3,SUB,27,21,,,4,2,1,2300000,61,28,42,45,61,72,31,20,62,56,26,42,23,22,51,47,54,66,47,54,42,53,54,56,81,23,76,59,28,33,30,44,61,62,63,9,11,14,8,6,
L. Le Roux,63,74,1000000,600,21,180,70,113743,1,LCM,8,140,,,3,2,1,1500000,65,46,58,63,58,69,44,40,51,66,45,61,45,42,64,64,69,62,67,58,68,55,70,74,69,44,61,62,58,61,56,63,60,57,55,13,8,8,15,14,
B. Wdowik,63,73,1000000,1000,20,184,72,110745,1,RES,27,37,,,2,2,1,1600000,73,45,56,59,57,63,58,53,44,60,36,58,54,30,57,61,77,69,58,58,61,42,64,67,62,34,61,60,54,55,38,55,54,62,60,10,11,5,9,7,
L. Larsen,63,69,775000,950,22,175,74,112420,1,RM,7,36,,,3,3,1,1100000,76,60,56,65,52,55,58,59,47,59,54,65,57,53,52,63,76,76,76,56,73,65,55,66,55,60,43,51,57,54,58,59,55,53,46,14,8,11,8,10,
T. Fujii,63,70,975000,2000,22,173,65,113157,1,RM,15,163,,,3,3,1,1400000,69,46,58,66,40,51,57,43,45,64,36,71,50,38,55,64,70,69,61,58,75,52,57,60,42,46,60,43,63,60,37,51,35,40,48,9,9,10,14,5,
B. Bodily,63,69,750000,2000,23,175,68,111140,1,SUB,98,95,,,4,2,1,1300000,71,56,61,64,54,54,66,54,43,62,48,66,61,48,60,60,74,69,67,54,71,61,57,53,55,57,52,52,60,58,44,65,58,56,48,7,11,9,7,14,
S. Ram?rez,63,78,1200000,2000,20,180,75,111711,1,SUB,12,52,,,3,2,1,2500000,75,54,57,63,32,56,62,53,40,57,48,65,55,46,50,63,73,77,70,50,68,63,46,69,59,48,33,25,59,58,50,43,30,35,30,13,10,13,14,6,
E. Rabanal,63,67,650000,500,24,177,78,114619,1,RB,25,59,,,2,2,1,1400000,69,36,48,58,61,52,58,32,61,57,29,49,34,36,45,64,74,65,73,66,69,42,60,63,51,37,41,55,42,30,48,62,65,64,55,5,9,14,12,11,
V. ?brego,63,69,775000,500,24,176,69,110968,1,SUB,7,53,,,3,2,1,1800000,62,64,49,65,40,57,40,70,68,55,55,67,31,36,53,65,62,62,67,53,78,60,66,70,52,60,53,35,62,50,55,49,39,35,41,7,11,9,12,13,
N. Tafari,63,67,625000,1000,24,193,84,695,1,RCB,14,95,,,3,2,1,984000,59,34,45,52,61,75,26,32,57,57,22,48,21,27,63,53,62,56,50,60,54,43,77,73,81,35,60,64,31,40,30,69,60,63,59,13,10,9,5,12,
Pedro Amador,63,73,1000000,2000,22,181,73,1900,1,RES,81,38,,,3,3,1,2300000,69,43,59,61,58,57,62,36,49,61,45,58,64,61,58,62,69,69,74,61,66,56,56,55,56,45,61,58,52,52,43,57,55,62,64,8,10,11,12,7,
Rafael Pereira,63,76,1100000,500,21,186,78,111701,1,SUB,34,54,,,2,2,1,3100000,71,33,46,55,62,70,52,28,60,50,30,55,49,35,39,55,70,72,60,59,62,39,69,62,76,34,64,58,45,39,35,43,64,64,59,7,5,8,7,15,
T. Tessmann,63,78,1100000,2000,19,188,86,205,1,SUB,8,95,,,5,2,1,2700000,67,47,63,65,56,69,53,46,45,66,41,64,50,42,70,67,64,69,65,60,69,53,59,73,79,43,39,55,66,69,41,63,68,52,49,9,6,10,10,6,
Jony ?lamo,63,79,1200000,2000,19,175,64,468,1,RES,37,45,,,3,3,1,3300000,63,45,62,65,61,48,52,41,58,70,46,66,50,45,67,63,63,63,63,64,74,56,64,55,36,41,63,59,41,63,55,55,64,59,62,6,11,8,10,8,
G. Di Serio,63,75,1100000,2000,19,182,78,112026,2,SUB,20,27,,,3,2,1,2200000,64,63,45,59,19,66,40,64,64,54,56,58,37,31,41,63,66,63,52,62,60,68,69,58,74,56,56,15,65,43,58,51,14,11,19,9,14,15,13,8,
?. Beyaz,63,81,1200000,700,17,171,65,36,1,SUB,34,48,,,3,3,1,2900000,61,53,66,66,47,44,64,54,49,70,49,67,54,58,69,68,55,65,53,57,90,57,50,36,43,43,54,31,63,65,54,64,47,54,57,8,10,8,7,11,
F. J?rgensen,63,77,1100000,750,19,178,74,1456,1,CM,7,36,,,2,3,1,2100000,66,47,59,65,56,62,48,43,52,66,42,64,46,39,63,65,68,65,64,61,74,54,69,68,59,45,60,61,63,64,45,68,57,55,53,12,14,6,14,10,
P. Ibara,63,68,725000,650,25,194,87,113302,1,SUB,9,107,,,3,2,1,1000000,54,65,48,54,29,68,46,65,73,58,65,53,38,41,31,58,53,55,48,54,43,70,56,52,82,61,56,22,65,48,64,58,21,28,21,6,9,8,11,10,
E. Rold?n,63,72,1100000,2000,20,176,70,111716,1,RES,8,52,,,3,2,1,1900000,77,61,56,67,35,55,57,64,43,58,63,69,69,39,53,67,78,77,72,45,78,68,53,65,58,49,33,32,58,55,49,46,34,35,31,7,6,8,6,13,
F. Versaci,63,74,1000000,2000,19,170,63,101088,1,RES,25,52,,,3,2,1,1700000,78,62,54,66,27,46,55,61,63,58,49,65,49,47,47,63,79,77,83,57,78,65,71,54,43,63,39,23,59,56,62,55,21,25,23,8,10,8,7,5,
M. Kozak,63,67,700000,1000,24,176,60,111088,1,LM,7,37,,,3,3,1,998000,78,52,59,63,25,43,62,56,39,61,44,63,52,42,56,63,81,75,78,54,68,52,33,52,41,45,38,21,55,61,57,46,23,24,25,10,6,9,13,10,
N. Bruneel,63,70,950000,1000,24,178,68,111276,2,RCM,21,18,,,3,2,1,1900000,73,60,58,63,60,57,38,58,55,64,60,60,62,64,57,65,76,71,65,62,73,68,59,79,50,55,48,59,61,66,55,60,60,64,58,14,7,10,7,11,
S. Osigwe,63,67,500000,2000,27,185,80,10032,1,SUB,58,133,,,2,1,1,763000,,,,,,,17,12,19,35,15,16,16,17,31,22,30,33,32,55,45,47,67,33,54,11,38,14,10,49,15,28,19,13,15,65,65,63,61,62,31
L. App?r?,63,70,975000,2000,22,185,71,181,1,SUB,27,42,,,3,3,1,1900000,72,61,60,63,42,65,63,64,62,63,48,63,69,30,58,64,74,70,64,56,71,62,67,70,71,57,44,41,60,58,64,59,28,50,44,14,8,14,9,13,
J. Bonde,63,64,550000,3000,27,186,75,1443,1,RCM,17,13,,,3,2,1,729000,57,60,60,61,60,70,56,60,65,65,48,61,57,52,61,65,54,59,52,60,54,65,74,80,64,56,70,58,64,58,65,60,56,62,62,5,13,8,11,13,
D. Cirkin,63,77,1100000,1000,19,182,72,106,3,SUB,17,14,,,3,2,1,2600000,62,39,50,60,61,58,59,40,57,53,29,66,50,43,35,54,64,60,53,63,64,37,63,57,56,34,62,63,50,48,47,51,57,62,68,7,8,11,11,15,
R. Del Campo,63,76,1200000,2000,21,185,79,112809,1,RES,71,47,,,3,2,1,3300000,69,65,50,63,28,54,52,65,60,54,60,64,50,45,39,68,68,69,60,51,56,71,47,53,65,60,29,26,60,50,63,53,20,26,28,14,13,5,11,9,
D. Pavlovic,63,76,1100000,2000,19,179,76,232,1,SUB,33,51,,,4,2,1,2300000,73,25,55,61,59,70,57,15,54,61,28,60,32,24,58,64,71,74,64,55,62,39,67,66,68,32,79,55,28,53,30,47,58,63,61,13,8,6,13,13,
D. Boudaud,63,63,230000,2000,34,173,70,111276,2,SUB,10,18,,,3,2,1,403000,63,60,64,65,47,57,56,58,37,64,46,62,71,68,61,65,59,66,67,58,84,59,49,66,59,67,45,45,63,70,56,69,48,50,48,13,13,7,8,12,
X. Dzieko?ski,63,80,1100000,500,17,188,78,110745,1,GK,55,37,,,2,1,1,2200000,,,,,,,13,7,11,48,6,8,14,14,50,11,32,33,25,47,39,47,54,28,63,6,28,11,5,33,14,36,9,10,12,62,64,62,65,63,32
K. Kruk,63,72,1000000,1000,21,185,79,110749,1,SUB,74,37,,,2,2,1,1600000,60,43,42,45,63,71,33,48,58,54,25,33,42,31,40,48,56,63,63,59,73,42,68,68,75,41,63,63,30,32,34,52,64,64,61,7,13,10,8,10,
M. M?ller,63,63,425000,1000,29,173,69,523,3,SUB,23,21,,,2,2,1,616000,73,39,57,64,57,57,62,30,43,61,54,62,60,50,47,59,75,71,82,52,84,53,61,79,45,34,57,57,49,52,50,59,58,61,59,11,9,11,11,9,
H. Heggheim,63,78,1100000,2000,20,185,75,269,1,SUB,3,36,,,3,2,1,2100000,67,29,47,52,64,68,32,26,64,57,25,47,37,28,52,58,62,71,45,56,61,40,68,70,71,21,58,60,29,46,41,57,62,67,65,8,9,11,10,6,
J. Kadile,63,78,1100000,4000,18,182,83,74,1,SUB,34,18,,,3,3,1,2800000,79,63,52,66,22,52,51,61,54,55,61,68,56,46,41,64,78,79,74,52,73,70,51,50,58,60,39,21,58,56,62,53,17,18,20,11,11,7,15,11,
L. Ugochukwu,63,80,1200000,1000,17,188,83,74,1,SUB,26,18,,,3,2,1,3000000,67,50,60,65,58,69,46,43,58,71,43,64,59,41,64,69,68,67,67,56,64,65,71,69,70,51,66,55,57,57,52,59,54,64,58,10,13,15,11,8,
O. Traor?,63,68,675000,1000,23,187,77,487,3,RB,23,21,,,3,2,1,1000000,86,40,57,63,55,64,60,36,50,61,29,64,61,28,45,62,85,86,69,51,65,57,61,72,62,29,61,55,52,60,51,58,52,60,57,10,14,6,15,7,
K. Inoue,63,70,975000,1000,22,170,65,113183,1,SUB,17,163,,,3,2,1,1400000,88,50,60,66,23,47,58,52,28,64,56,66,63,59,62,63,88,88,83,45,80,54,56,53,46,38,41,24,56,51,54,61,23,21,26,8,7,11,5,10,
P. Steinwender,63,66,650000,550,24,181,73,110501,3,SUB,18,21,,,3,2,1,991000,84,63,55,66,31,52,58,63,56,58,63,67,53,43,51,66,85,84,71,55,73,70,47,54,56,61,42,19,52,51,62,53,30,33,29,14,10,7,11,5,
S. Muratore,63,71,1100000,8000,23,186,74,112516,1,RES,38,27,,,2,2,1,,61,50,62,58,61,58,48,51,65,73,36,57,42,45,72,62,62,61,54,65,57,57,56,53,56,40,68,60,55,60,57,45,54,67,63,8,9,14,8,13,
A. Becker,63,68,725000,2000,24,196,92,543,2,SUB,29,21,,,4,2,1,1200000,57,61,40,58,27,74,33,65,70,45,59,59,30,27,36,61,55,58,51,55,36,68,65,67,89,45,48,19,66,46,60,61,24,20,25,8,13,13,11,5,
J. Olschowsky,63,80,1100000,2000,19,183,80,23,1,SUB,41,21,,,3,1,1,2600000,,,,,,,14,6,13,18,9,12,13,10,25,10,22,17,30,50,44,48,78,16,42,7,23,11,8,45,15,38,18,11,11,64,63,64,65,64,20
A. Helac,63,68,575000,3000,23,190,87,256,1,SUB,21,4,,,2,1,1,877000,,,,,,,10,5,12,18,6,6,10,13,26,10,26,40,25,38,28,44,38,22,62,7,20,6,7,41,10,33,6,11,14,66,65,58,64,67,32
L. J?rgensen,63,69,700000,500,23,190,82,110501,3,LCB,19,13,,,3,2,1,1200000,59,24,43,51,62,72,20,18,66,55,20,47,29,21,48,54,55,63,53,58,44,37,67,61,81,23,65,58,28,48,39,61,62,64,56,9,12,13,5,13,
R. Lozano,63,70,925000,2000,23,179,79,111711,1,SUB,4,52,,,3,2,1,1500000,73,39,52,61,58,60,59,34,37,55,45,62,57,29,51,59,72,74,66,56,65,50,56,74,55,37,55,55,51,46,30,46,58,63,66,9,14,11,14,9,
S. Benchamma,63,74,1000000,1000,21,185,71,1813,2,SUB,26,18,,,4,2,1,2000000,70,54,61,67,58,64,53,51,52,68,48,69,64,55,66,66,72,69,65,60,61,63,62,62,65,53,63,60,51,53,56,63,57,60,56,7,6,9,13,5,
J. Cooper,63,66,625000,3000,25,180,70,1951,3,SUB,22,35,,,3,3,1,1100000,77,59,58,63,26,55,60,58,43,59,54,62,56,52,55,61,78,77,75,57,73,62,66,68,52,59,42,22,60,60,57,58,23,26,22,10,10,12,13,7,
A. Ma?achowski,63,68,725000,1000,23,183,78,110588,3,SUB,6,37,,,2,2,1,1100000,59,51,63,63,63,67,62,50,59,66,48,63,62,52,65,63,64,55,63,57,66,55,57,77,63,49,65,60,57,60,48,59,60,67,65,14,7,7,8,5,
Manu Molina,63,71,1100000,2000,22,175,70,110839,2,SUB,34,45,,,3,2,1,2000000,75,57,57,62,33,49,67,60,50,58,53,65,50,48,56,64,74,75,58,45,68,65,49,66,47,41,33,25,59,51,69,51,36,30,29,8,8,12,10,7,
A. Gremsl,63,66,475000,2000,26,190,85,115716,1,RES,94,4,,,2,1,1,677000,,,,,,,13,8,14,24,8,9,10,11,20,11,41,46,34,63,36,46,62,30,78,6,29,21,8,49,17,47,19,13,13,63,60,61,60,65,43
M. Bartolewski,63,69,700000,2000,23,187,76,110749,1,LB,77,37,,,2,2,1,1100000,77,40,50,59,58,62,58,43,48,57,27,59,44,30,42,57,78,77,71,55,64,46,52,66,63,28,56,60,46,42,40,48,60,58,58,9,14,6,10,15,
C. Pastina,63,75,1100000,2000,20,185,80,112026,2,LCB,58,27,,,2,2,1,2200000,63,31,50,53,63,64,56,18,57,54,27,51,51,28,49,56,62,63,49,63,54,57,61,48,73,34,63,65,30,43,36,47,64,63,62,9,9,13,13,9,
Jaume Cu?llar,63,76,1100000,1000,19,183,67,110831,2,RES,29,53,,,3,2,1,2400000,62,64,58,65,25,52,49,65,55,62,65,72,64,50,52,60,63,62,56,62,63,65,56,56,55,63,39,23,54,65,71,54,25,17,26,14,11,9,15,11,
I. ?erban,63,63,475000,2000,29,176,71,100759,1,LDM,8,39,,,2,3,1,641000,67,59,62,64,48,63,48,50,40,70,57,64,53,63,66,65,66,68,67,58,68,69,51,67,69,70,48,55,62,59,52,62,46,47,49,12,10,5,8,11,
M. Tomozei,63,63,425000,2000,30,177,75,110750,1,SUB,26,39,,,3,2,1,574000,66,30,51,52,58,66,62,26,46,57,25,38,35,52,49,62,67,66,71,57,58,32,63,68,66,31,62,62,52,35,37,61,53,64,63,9,11,6,11,5,
S. Rumbullaku,63,63,425000,2000,29,172,68,113387,1,SUB,20,1,,,3,2,1,574000,74,34,52,59,58,60,58,31,44,57,29,54,44,46,48,56,77,72,83,59,82,33,66,72,52,37,62,58,48,44,34,43,57,62,61,9,11,8,13,13,
C. Hall,63,65,475000,3000,28,193,79,112222,4,LCB,20,14,,,2,2,1,867000,53,27,40,45,62,77,22,24,62,52,28,39,33,28,43,47,54,52,50,58,53,33,65,79,81,21,65,61,33,39,39,54,62,63,61,6,10,7,14,13,
A. Martin,63,63,475000,3000,29,183,74,112222,4,SUB,10,14,,,3,2,1,831000,71,61,47,60,22,75,35,61,62,55,55,58,42,40,39,61,70,71,66,61,65,64,91,79,76,57,62,13,63,53,60,56,19,20,13,10,7,9,14,13,
A. Pyrka,63,76,1100000,700,18,177,73,111086,1,RM,77,37,,,3,3,1,2200000,81,61,56,64,29,39,58,67,43,56,52,63,51,42,56,66,82,80,71,51,73,56,43,46,37,55,32,30,61,60,54,58,24,29,31,10,14,12,9,15,
M. Czy?ycki,63,67,700000,900,23,175,72,112511,1,SUB,17,37,,,3,2,1,998000,66,56,58,63,54,58,48,58,49,63,56,64,44,38,64,62,68,64,67,65,58,53,53,80,46,59,61,58,59,63,44,55,47,60,53,7,8,10,14,8,
M. Schroers,63,75,1100000,3000,19,180,70,23,1,RES,39,21,,,3,2,1,2100000,67,65,62,64,37,48,63,65,63,64,68,64,69,56,57,65,66,67,66,49,74,64,50,54,47,65,42,40,61,59,68,51,38,28,28,9,6,11,6,11,
S. Christiansen,63,74,1000000,4000,20,185,75,23,1,RES,45,36,,,3,2,1,1900000,60,55,64,65,56,60,64,56,58,67,56,65,57,57,66,68,66,55,55,60,61,62,59,62,61,45,56,50,58,62,60,66,53,60,59,9,13,9,12,14,
B. Brahimi,63,77,1200000,4000,21,183,73,1530,1,RES,32,18,,,3,2,1,3200000,75,60,58,68,26,59,59,58,51,60,56,73,64,63,50,69,75,75,67,50,63,68,57,54,71,60,35,21,50,58,54,51,18,30,27,15,6,10,6,7,
